"participantGUID","pid","Protocol","ageGroup","d_arrive","d_sacrifice","Intervention","SacrificeTime","ANIRandGroup","siteName"
"A19A8134-DA27-47FE-9D8C-FCF71D38D0F5",10175431,2,1,"07AUG2018","14NOV2018",2,10,"Four-week program",940
"96CEB507-B2E6-4C83-BF7B-1B1256549F76",10179267,2,1,"07AUG2018","14NOV2018",2,10,"Four-week program",940
"569A9229-04E8-414A-A195-FE9E8F1B66AB",10185585,2,1,"07AUG2018","15NOV2018",2,10,"Four-week program",940
"06FE1060-F317-41ED-A95F-BE88FBAB9D32",10204989,2,1,"07AUG2018","15NOV2018",2,10,"Four-week program",940
"211F8017-6F51-4B51-BE65-CB50034E0D76",10219315,2,1,"07AUG2018","15NOV2018",2,10,"Four-week program",940
"E4271AF1-899A-4A65-9D8D-BF18CEE3F1CF",10220917,2,1,"07AUG2018","15NOV2018",2,10,"Four-week program",940
"0B121AC2-128E-4558-986F-4366C44FDF6A",10244182,2,1,"04SEP2018","03DEC2018",2,10,"Four-week program",940
"D171B519-A11F-44D0-806C-9B72CED5F467",10268871,2,1,"04SEP2018","03DEC2018",2,10,"Four-week program",940
"02039384-2937-425D-8843-B9E1E76011E5",10282947,2,1,"04SEP2018","03DEC2018",2,10,"Four-week program",940
"66EB7817-1240-4EBB-BFF0-6BB1174A7918",10284052,2,1,"04SEP2018","03DEC2018",2,10,"Four-week program",940
"BFB06BA8-16D4-48E7-A1D6-FAFF0DD82D3F",10300007,2,1,"04SEP2018","03DEC2018",2,10,"Four-week program",940
"2E37478F-525F-4E5E-A882-EE75FD0CFB29",10306471,2,1,"04SEP2018","04DEC2018",2,10,"Four-week program",940
"A5B563CE-510A-4E0D-99C0-560F249175D9",10309659,2,1,"04SEP2018","04DEC2018",2,10,"Four-week program",940
"11D18917-6ADA-49CC-8B2A-1BC3C6DEE662",10314733,2,1,"04SEP2018","04DEC2018",2,10,"Four-week program",940
"900B0B86-DCD4-4E2F-9B47-1AD8B683CD7D",10315624,2,1,"04SEP2018","04DEC2018",2,10,"Four-week program",940
"A9CE3E3D-31A0-4443-8A7F-8FD831D79248",10335064,2,1,"04SEP2018","04DEC2018",2,10,"Four-week program",940
"76A2272B-1BF0-4415-B122-F778562E3C2C",10335730,2,1,"04SEP2018","05DEC2018",2,10,"Four-week program",940
"3D5BC47C-BB3D-45A2-8DB8-D7ADCD51997C",10337199,2,1,"04SEP2018","05DEC2018",2,10,"Four-week program",940
"463D6625-1D2F-4721-A932-116D2BE8DD33",10338918,2,1,"04SEP2018","05DEC2018",2,10,"Four-week program",940
"C3395698-C620-4B14-84B2-73C90BF5A747",10356738,2,1,"04SEP2018","05DEC2018",2,10,"Four-week program",940
"9CCDBB26-A6D5-4995-8494-A9202DA5581A",10366296,2,1,"04SEP2018","05DEC2018",2,10,"Four-week program",940
"89D6F615-D17C-4EB9-88EB-A602940FF179",10381414,2,1,"04SEP2018","06DEC2018",2,10,"Four-week program",940
"BCB56DB0-826F-4A24-AAC9-02DD4C4BCB82",10387021,2,1,"04SEP2018","06DEC2018",2,10,"Four-week program",940
"684CAF95-E605-4000-942B-E7EC29F2F7D0",10391800,2,1,"04SEP2018","06DEC2018",2,10,"Four-week program",940
"FAC89D7F-40E3-41F6-A53C-C3493FE014B0",10398651,2,1,"04SEP2018","06DEC2018",2,10,"Four-week program",940
